restaurant,item,cholesterol
"Taco Bell","Cheesy Bean and Rice Burrito",0
"Taco Bell","Fresco Bean Burrito",0
"Taco Bell","Triple Layer Nachos",0
"Taco Bell","Black Bean Burrito",10
"Taco Bell","Cantina Power Burrito - Veggie",10
"Taco Bell","Spicy Potato Soft Taco",10
"Taco Bell","Cantina Power Bowl - Veggie",10
"Taco Bell","Spicy Tostada",10
"Taco Bell","Fresco Burrito Supreme® – Steak",15
"Taco Bell","Fresco Grilled Steak Soft Taco",15
"Taco Bell","Double Tostada",15
"Taco Bell","7-Layer Burrito",20
"Taco Bell","Beefy Fritos® Burrito",20
"Taco Bell","Fresco Crunchy Taco",20
"Taco Bell","Fresco Soft Taco",20
